FeatureID,LIB_ID,COMP_ID,SUPER_PATHWAY,SUB_PATHWAY,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
F100000873,305,20758,Xenobiotics,Food Component/Plant,NAMED,IAJILQKETJEXLJ-UHFFFAOYSA-N,OC(C(O)C(O)=O)C(O)C(O)C=O,galacturonate,91510-62-2,76444,HMDB0002545,C08348,84740,Polar
F100000882,209,21158,Lipid,"Fatty Acid, Monohydroxy",NAMED,ATRNZOYKSNPPBF-UHFFFAOYSA-N,CCCCCCCCCCCC(O)CC(O)=O,3-hydroxymyristate,3422-31-9,15252,HMDB0061656,,16064,Neg
F100000920,209,44663,Xenobiotics,Food Component/Plant,NAMED,FTVWIRXFELQLPI-UHFFFAOYSA-N,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC=C(O)C=C3)C1,naringenin,67604-48-2,907,HMDB0002670,C00509,932,Neg
F100000923,402,21183,Lipid,Sterol,NAMED,HCXVJBMSMIARIN-MFWSXVRSSA-N,[H][C@]12[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]1(C)[C@@H]([C@@H](/C=C/C(CC)C(C)C)C)CC2,stigmasterol,83-48-7,4444352,HMDB0000937,C05442,5280794,Pos Late
F100000924,209,21184,Lipid,Monoacylglycerol,NAMED,RZRNAYUHWVFMIP-KTKRTIGZSA-N,O=C(OCC(O)CO)CCCCCCC/C=C\CCCCCCCC,1-oleoylglycerol (18:1),111-03-5,4446588,HMDB0011567,,5283468,Neg
F100000930,402,21187,Lipid,Sterol,NAMED,OSELKOCHBMDKEJ-XRPCMWTNSA-N,C[C@@]12[C@@]([H])(CC[C@@]2([C@H](C)CC/C(C(C)C)=C/C)[H])[C@@](CC=C3[C@@]4(CC[C@H](O)C3)C)([H])[C@@]4([H])CC1,fucosterol,17605-67-3,4444705,HMDB0030021,C08817,5281328,Pos Late
F100000935,209,21189,Xenobiotics,Food Component/Plant,NAMED,KZNIFHPLKGYRTM-UHFFFAOYSA-N,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC=C(O)C=C3)=C1,apigenin,520-36-5,4444100,HMDB0002124,C01477,5280443,Neg
F100000936,305,44526,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NAMED,QHKABHOOEWYVLI-UHFFFAOYSA-N,OC(C(C(C)C)=O)=O,3-methyl-2-oxobutyrate,3715-29-5,48,HMDB0000019,C00141,49,Polar
F100000943,209,21232,Lipid,Monoacylglycerol,NAMED,UPWGQKDVAURUGE-KTKRTIGZSA-N,O=C(OC(CO)CO)CCCCCCC/C=C\CCCCCCCC,2-oleoylglycerol (18:1),3443-84-3,4478086,HMDB0011537,,5319879,Neg
F100000956,209,21239,Lipid,"Fatty Acid, Monohydroxy",NAMED,KDMSVYIHKLZKET-UHFFFAOYSA-N,OCCCCCCCC(O)=O,8-hydroxyoctanoate,764-89-6,63018,HMDB0061914,,69820,Neg
