Analysis,CatID,GroupCode,_Imputation_,SDF1_Observed,SDF1
Group-only PMM,10,C,15,59.34,59.34
Group-only PMM,23,C,15,452.94,452.94
Group-only PMM,16,C,15,173.83,173.83
Group-only PMM,20,C,15,908.79,908.79
Group-only PMM,18,D,16,686.49,686.49
Group-only PMM,4,C,16,1041.31,1041.31
Group-only PMM,19,D,16,1412.35,1412.35
Group-only PMM,26,D,16,1205.1,1205.1
Group-only PMM,17,C,16,253.24,253.24
Group-only PMM,22,C,16,400.74,400.74
Group-only PMM,5,C,16,708.48,708.48
Group-only PMM,14,C,16,1387.6,1387.6
Group-only PMM,28,C,16,356.3,356.3
Group-only PMM,12,C,16,762.73,762.73
Group-only PMM,15,C,16,1318.05,1318.05
Group-only PMM,29,C,16,518.66,518.66
Group-only PMM,27,D,16,,1412.35
Group-only PMM,21,D,16,942.41,942.41
Group-only PMM,25,C,16,1076.91,1076.91
Group-only PMM,13,C,16,693.81,693.81
Group-only PMM,9,C,16,730.21,730.21
Group-only PMM,3,D,16,410.73,410.73
Group-only PMM,24,D,16,1793.84,1793.84
Group-only PMM,8,C,16,,708.48
Group-only PMM,6,C,16,59.34,59.34
Group-only PMM,11,C,16,745.5,745.5
Group-only PMM,2,D,16,1794.45,1794.45
Group-only PMM,7,C,16,547.82,547.82
Group-only PMM,1,C,16,617.83,617.83
Group-only PMM,10,C,16,59.34,59.34
Group-only PMM,23,C,16,452.94,452.94
Group-only PMM,16,C,16,173.83,173.83
Group-only PMM,20,C,16,908.79,908.79
Group-only PMM,18,D,17,686.49,686.49
Group-only PMM,4,C,17,1041.31,1041.31
Group-only PMM,19,D,17,1412.35,1412.35
Group-only PMM,26,D,17,1205.1,1205.1
Group-only PMM,17,C,17,253.24,253.24
Group-only PMM,22,C,17,400.74,400.74
Group-only PMM,5,C,17,708.48,708.48
Group-only PMM,14,C,17,1387.6,1387.6
Group-only PMM,28,C,17,356.3,356.3
Group-only PMM,12,C,17,762.73,762.73
Group-only PMM,15,C,17,1318.05,1318.05
Group-only PMM,29,C,17,518.66,518.66
Group-only PMM,27,D,17,,410.73
Group-only PMM,21,D,17,942.41,942.41
Group-only PMM,25,C,17,1076.91,1076.91
Group-only PMM,13,C,17,693.81,693.81
Group-only PMM,9,C,17,730.21,730.21
Group-only PMM,3,D,17,410.73,410.73
Group-only PMM,24,D,17,1793.84,1793.84
Group-only PMM,8,C,17,,1041.31
Group-only PMM,6,C,17,59.34,59.34
Group-only PMM,11,C,17,745.5,745.5
Group-only PMM,2,D,17,1794.45,1794.45
Group-only PMM,7,C,17,547.82,547.82
Group-only PMM,1,C,17,617.83,617.83
Group-only PMM,10,C,17,59.34,59.34
Group-only PMM,23,C,17,452.94,452.94
Group-only PMM,16,C,17,173.83,173.83
Group-only PMM,20,C,17,908.79,908.79
Group-only PMM,18,D,18,686.49,686.49
Group-only PMM,4,C,18,1041.31,1041.31
Group-only PMM,19,D,18,1412.35,1412.35
Group-only PMM,26,D,18,1205.1,1205.1
Group-only PMM,17,C,18,253.24,253.24
Group-only PMM,22,C,18,400.74,400.74
Group-only PMM,5,C,18,708.48,708.48
Group-only PMM,14,C,18,1387.6,1387.6
Group-only PMM,28,C,18,356.3,356.3
Group-only PMM,12,C,18,762.73,762.73
Group-only PMM,15,C,18,1318.05,1318.05
Group-only PMM,29,C,18,518.66,518.66
Group-only PMM,27,D,18,,1412.35
Group-only PMM,21,D,18,942.41,942.41
Group-only PMM,25,C,18,1076.91,1076.91
Group-only PMM,13,C,18,693.81,693.81
Group-only PMM,9,C,18,730.21,730.21
Group-only PMM,3,D,18,410.73,410.73
Group-only PMM,24,D,18,1793.84,1793.84
Group-only PMM,8,C,18,,400.74
Group-only PMM,6,C,18,59.34,59.34
Group-only PMM,11,C,18,745.5,745.5
Group-only PMM,2,D,18,1794.45,1794.45
Group-only PMM,7,C,18,547.82,547.82
Group-only PMM,1,C,18,617.83,617.83
Group-only PMM,10,C,18,59.34,59.34
Group-only PMM,23,C,18,452.94,452.94
Group-only PMM,16,C,18,173.83,173.83
Group-only PMM,20,C,18,908.79,908.79
Group-only PMM,18,D,19,686.49,686.49
Group-only PMM,4,C,19,1041.31,1041.31
Group-only PMM,19,D,19,1412.35,1412.35
Group-only PMM,26,D,19,1205.1,1205.1
Group-only PMM,17,C,19,253.24,253.24
Group-only PMM,22,C,19,400.74,400.74
Group-only PMM,5,C,19,708.48,708.48
Group-only PMM,14,C,19,1387.6,1387.6
Group-only PMM,28,C,19,356.3,356.3
Group-only PMM,12,C,19,762.73,762.73
Group-only PMM,15,C,19,1318.05,1318.05
Group-only PMM,29,C,19,518.66,518.66
Group-only PMM,27,D,19,,942.41
Group-only PMM,21,D,19,942.41,942.41
Group-only PMM,25,C,19,1076.91,1076.91
Group-only PMM,13,C,19,693.81,693.81
Group-only PMM,9,C,19,730.21,730.21
Group-only PMM,3,D,19,410.73,410.73
Group-only PMM,24,D,19,1793.84,1793.84
Group-only PMM,8,C,19,,1387.6
Group-only PMM,6,C,19,59.34,59.34
Group-only PMM,11,C,19,745.5,745.5
Group-only PMM,2,D,19,1794.45,1794.45
Group-only PMM,7,C,19,547.82,547.82
Group-only PMM,1,C,19,617.83,617.83
Group-only PMM,10,C,19,59.34,59.34
Group-only PMM,23,C,19,452.94,452.94
Group-only PMM,16,C,19,173.83,173.83
Group-only PMM,20,C,19,908.79,908.79
Group-only PMM,18,D,20,686.49,686.49
Group-only PMM,4,C,20,1041.31,1041.31
Group-only PMM,19,D,20,1412.35,1412.35
Group-only PMM,26,D,20,1205.1,1205.1
Group-only PMM,17,C,20,253.24,253.24
Group-only PMM,22,C,20,400.74,400.74
Group-only PMM,5,C,20,708.48,708.48
Group-only PMM,14,C,20,1387.6,1387.6
Group-only PMM,28,C,20,356.3,356.3
Group-only PMM,12,C,20,762.73,762.73
Group-only PMM,15,C,20,1318.05,1318.05
Group-only PMM,29,C,20,518.66,518.66
Group-only PMM,27,D,20,,942.41
Group-only PMM,21,D,20,942.41,942.41
Group-only PMM,25,C,20,1076.91,1076.91
Group-only PMM,13,C,20,693.81,693.81
Group-only PMM,9,C,20,730.21,730.21
Group-only PMM,3,D,20,410.73,410.73
Group-only PMM,24,D,20,1793.84,1793.84
Group-only PMM,8,C,20,,253.24
Group-only PMM,6,C,20,59.34,59.34
Group-only PMM,11,C,20,745.5,745.5
Group-only PMM,2,D,20,1794.45,1794.45
Group-only PMM,7,C,20,547.82,547.82
Group-only PMM,1,C,20,617.83,617.83
Group-only PMM,10,C,20,59.34,59.34
Group-only PMM,23,C,20,452.94,452.94
Group-only PMM,16,C,20,173.83,173.83
Group-only PMM,20,C,20,908.79,908.79
Group-only PMM,18,D,21,686.49,686.49
Group-only PMM,4,C,21,1041.31,1041.31
Group-only PMM,19,D,21,1412.35,1412.35
Group-only PMM,26,D,21,1205.1,1205.1
Group-only PMM,17,C,21,253.24,253.24
Group-only PMM,22,C,21,400.74,400.74
Group-only PMM,5,C,21,708.48,708.48
Group-only PMM,14,C,21,1387.6,1387.6
Group-only PMM,28,C,21,356.3,356.3
Group-only PMM,12,C,21,762.73,762.73
Group-only PMM,15,C,21,1318.05,1318.05
Group-only PMM,29,C,21,518.66,518.66
Group-only PMM,27,D,21,,1205.1
Group-only PMM,21,D,21,942.41,942.41
Group-only PMM,25,C,21,1076.91,1076.91
Group-only PMM,13,C,21,693.81,693.81
Group-only PMM,9,C,21,730.21,730.21
Group-only PMM,3,D,21,410.73,410.73
Group-only PMM,24,D,21,1793.84,1793.84
Group-only PMM,8,C,21,,400.74
Group-only PMM,6,C,21,59.34,59.34
Group-only PMM,11,C,21,745.5,745.5
Group-only PMM,2,D,21,1794.45,1794.45
Group-only PMM,7,C,21,547.82,547.82
Group-only PMM,1,C,21,617.83,617.83
Group-only PMM,10,C,21,59.34,59.34
Group-only PMM,23,C,21,452.94,452.94
Group-only PMM,16,C,21,173.83,173.83
Group-only PMM,20,C,21,908.79,908.79
Group-only PMM,18,D,22,686.49,686.49
Group-only PMM,4,C,22,1041.31,1041.31
Group-only PMM,19,D,22,1412.35,1412.35
Group-only PMM,26,D,22,1205.1,1205.1
Group-only PMM,17,C,22,253.24,253.24
Group-only PMM,22,C,22,400.74,400.74
Group-only PMM,5,C,22,708.48,708.48
